timestamp,presence,icm
1539075896,false,false
1539075897,false,false
1539075898,false,false
1539075899,true,false
1539075900,true,false
1539075901,true,false
1539075902,true,false
1539075903,true,false
1539075904,true,false
1539075905,true,true
1539075906,true,true
1539075907,true,true
1539075908,true,false
1539075909,true,false
1539075910,true,false
1539075911,true,false
1539075912,true,true
1539075913,true,false
1539075914,false,false
1539075915,false,false
1539075916,false,false
1539075917,false,false
1539075918,false,false
1539075919,false,false
1539075920,false,false
1539075921,false,false
1539075922,false,false
1539075923,true,false
1539075924,true,false
1539075925,true,false
1539075926,true,false
1539075927,true,false
1539075928,true,false
1539075929,false,false
1539075930,false,false
1539075931,false,false
1539075932,false,false
1539075933,false,false
1539075934,false,false
1539075935,false,false
1539075936,false,false
1539075937,false,false
