timestamp,presence,icm
1539354110,false,false
1539354111,false,false
1539354112,false,false
1539354113,false,false
1539354114,false,false
1539354115,true,false
1539354116,true,false
1539354117,false,false
1539354118,true,false
1539354119,true,false
1539354120,true,false
1539354121,true,false
1539354122,false,false
1539354123,false,false
1539354124,false,false
1539354125,false,false
1539354126,false,false
1539354127,false,false
1539354128,false,false
1539354129,false,false
1539354130,false,false
1539354131,false,false
1539354132,false,false
1539354133,false,false
1539354134,false,false
1539354135,false,false
1539354136,false,false
1539354137,false,false
1539354138,false,false
1539354139,false,false
1539354140,true,false
1539354141,true,false
1539354142,false,false
1539354143,false,false
1539354144,false,false
1539354145,false,false
1539354146,false,false
1539354147,false,false
1539354148,false,false
1539354149,false,false
1539354150,false,false
1539354151,false,false
1539354152,false,false
1539354153,false,false
1539354154,false,false
1539354155,false,false
1539354156,false,false
1539354157,false,false
1539354158,false,false
1539354159,false,false
1539354160,false,false
1539354161,false,false
1539354162,false,false
1539354163,false,false
1539354164,false,false
1539354165,false,false
1539354166,false,false
1539354167,false,false
1539354168,false,false
1539354169,false,false
1539354170,false,false
1539354171,false,false
1539354172,false,false
1539354173,true,false
1539354174,false,false
1539354175,false,false
1539354176,false,false
1539354177,false,false
1539354178,false,false
1539354179,false,false
1539354180,false,false
1539354181,false,false
1539354182,true,false
1539354183,false,false
1539354184,true,false
1539354185,false,false
1539354186,false,false
1539354187,false,false
1539354188,false,false
1539354189,false,false
1539354190,false,false
1539354191,false,false
1539354192,false,false
1539354193,false,false
1539354194,false,false
1539354195,false,false
1539354196,false,false
1539354197,false,false
1539354198,true,false
1539354199,true,false
1539354200,true,false
1539354201,true,false
1539354202,true,false
1539354203,false,false
1539354204,false,false
1539354205,false,false
1539354206,false,false
1539354207,false,false
1539354208,false,false
1539354209,false,false
1539354210,false,false
1539354211,false,false
1539354212,false,false
1539354213,false,false
1539354214,false,false
1539354215,false,false
1539354216,false,false
1539354217,false,false
1539354218,false,false
1539354219,false,false
1539354220,false,false
1539354221,false,false
1539354222,false,false
1539354223,false,false
1539354224,false,false
1539354225,false,false
1539354226,false,false
1539354227,false,false
1539354228,false,false
1539354229,false,false
1539354230,false,false
1539354231,false,false
1539354232,false,false
1539354233,false,false
1539354234,false,false
1539354235,true,false
1539354236,false,false
1539354237,false,false
1539354238,false,false
1539354239,false,false
1539354240,false,false
1539354241,false,false
1539354242,false,false
1539354243,false,false
1539354244,false,false
1539354245,true,false
1539354246,true,false
1539354247,false,false
1539354248,true,false
1539354249,false,false
1539354250,false,false
1539354251,false,false
1539354252,false,false
1539354253,false,false
1539354254,false,false
1539354255,false,false
1539354256,false,false
1539354257,false,false
1539354258,false,false
1539354259,false,false
1539354260,false,false
1539354261,false,false
1539354262,false,false
1539354263,false,false
1539354264,false,false
1539354265,false,false
1539354266,false,false
1539354267,false,false
1539354268,false,false
1539354269,false,false
1539354270,false,false
1539354271,false,false
1539354272,false,false
1539354273,false,false
1539354274,false,false
1539354275,false,false
1539354276,false,false
1539354277,false,false
1539354278,false,false
1539354279,false,false
1539354280,false,false
1539354281,false,false
1539354282,false,false
1539354283,false,false
1539354284,false,false
1539354285,false,false
1539354286,false,false
1539354287,false,false
1539354288,false,false
1539354289,false,false
1539354290,false,false
1539354291,false,false
1539354292,false,false
1539354293,false,false
1539354294,false,false
1539354295,false,false
1539354296,false,false
1539354297,false,false
1539354298,false,false
1539354299,false,false
1539354300,false,false
1539354301,false,false
1539354302,false,false
1539354303,false,false
1539354304,false,false
1539354305,false,false
1539354306,false,false
1539354307,false,false
1539354308,false,false
1539354309,false,false
1539354310,false,false
1539354311,false,false
1539354312,false,false
1539354313,false,false
1539354314,false,false
1539354315,false,false
1539354316,false,false
1539354317,false,false
1539354318,false,false
1539354319,false,false
1539354320,false,false
1539354321,false,false
1539354322,false,false
1539354323,false,false
1539354324,false,false
1539354325,false,false
1539354326,false,false
1539354327,false,false
1539354328,false,false
1539354329,false,false
1539354330,false,false
1539354331,false,false
1539354332,false,false
1539354333,false,false
1539354334,false,false
1539354335,false,false
1539354336,false,false
1539354337,false,false
1539354338,false,false
1539354339,false,false
1539354340,false,false
1539354341,false,false
1539354342,false,false
1539354343,false,false
1539354344,false,false
1539354345,false,false
1539354346,false,false
1539354347,false,false
1539354348,false,false
1539354349,false,false
1539354350,false,false
1539354351,false,false
1539354352,false,false
1539354353,false,false
1539354354,false,false
1539354355,false,false
1539354356,false,false
1539354357,false,false
1539354358,false,false
1539354359,false,false
1539354360,false,false
1539354361,false,false
1539354362,false,false
1539354363,false,false
1539354364,false,false
1539354365,false,false
1539354366,false,false
1539354367,false,false
1539354368,false,false
1539354369,false,false
1539354370,false,false
1539354371,false,false
1539354372,false,false
1539354373,false,false
1539354374,false,false
1539354375,false,false
1539354376,false,false
1539354377,false,false
1539354378,false,false
1539354379,false,false
1539354380,false,false
1539354381,false,false
1539354382,false,false
1539354383,false,false
1539354384,false,false
1539354385,false,false
1539354386,false,false
1539354387,false,false
1539354388,false,false
1539354389,false,false
1539354390,false,false
1539354391,false,false
1539354392,false,false
1539354393,false,false
1539354394,false,false
1539354395,false,false
1539354396,false,false
1539354397,false,false
1539354398,false,false
1539354399,false,false
1539354400,false,false
1539354401,false,false
1539354402,false,false
1539354403,false,false
1539354404,false,false
1539354405,false,false
1539354406,false,false
1539354407,false,false
1539354408,false,false
1539354409,false,false
1539354410,false,false
1539354411,false,false
1539354412,false,false
1539354413,false,false
1539354414,false,false
1539354415,false,false
1539354416,false,false
1539354417,false,false
1539354418,false,false
1539354419,false,false
1539354420,false,false
1539354421,false,false
1539354422,false,false
1539354423,false,false
1539354424,false,false
1539354425,false,false
1539354426,false,false
1539354427,false,false
1539354428,false,false
1539354429,false,false
1539354430,false,false
1539354431,false,false
1539354432,false,false
1539354433,false,false
1539354434,false,false
1539354435,false,false
1539354436,false,false
1539354437,false,false
1539354438,false,false
1539354439,false,false
1539354440,false,false
1539354441,false,false
1539354442,false,false
1539354443,false,false
1539354444,false,false
1539354445,false,false
1539354446,false,false
1539354447,false,false
1539354448,false,false
1539354449,false,false
1539354450,false,false
1539354451,false,false
1539354452,false,false
1539354453,false,false
1539354454,false,false
1539354455,false,false
1539354456,false,false
1539354457,false,false
1539354458,false,false
1539354459,false,false
1539354460,false,false
1539354461,false,false
1539354462,false,false
1539354463,false,false
1539354464,false,false
1539354465,false,false
1539354466,false,false
1539354467,false,false
1539354468,false,false
1539354469,false,false
1539354470,false,false
1539354471,false,false
1539354472,false,false
1539354473,false,false
1539354474,false,false
1539354475,false,false
1539354476,false,false
1539354477,false,false
1539354478,false,false
1539354479,false,false
1539354480,false,false
1539354481,false,false
1539354482,false,false
1539354483,false,false
1539354484,false,false
1539354485,false,false
1539354486,false,false
1539354487,false,false
1539354488,false,false
1539354489,false,false
1539354490,false,false
1539354491,false,false
1539354492,false,false
1539354493,false,false
1539354494,false,false
1539354495,false,false
1539354496,false,false
1539354497,false,false
1539354498,false,false
1539354499,false,false
1539354500,false,false
1539354501,false,false
1539354502,false,false
1539354503,false,false
1539354504,false,false
1539354505,false,false
1539354506,false,false
1539354507,false,false
1539354508,false,false
1539354509,false,false
1539354510,false,false
1539354511,false,false
1539354512,false,false
1539354513,false,false
1539354514,false,false
1539354515,false,false
1539354516,false,false
1539354517,false,false
1539354518,false,false
1539354519,false,false
1539354520,false,false
1539354521,false,false
1539354522,false,false
1539354523,false,false
1539354524,false,false
